Run Date,Account,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
02/06/2025,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1536.47,02/06/2025
02/06/2025,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,511.47,02/06/2025
02/12/2025,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-83.41,02/12/2025
02/21/2025,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-138.24,02/21/2025
03/06/2025,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1437.10,03/06/2025
03/06/2025,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,573.13,03/06/2025
03/12/2025,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-70.97,03/12/2025
03/21/2025,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-153.61,03/21/2025
03/28/2025,IRA(*1234),DIVIDEND RECEIVED,BND,VANGUARD TOTAL BOND MARKET ETF,Cash,,,,,,683.67,03/28/2025
03/28/2025,BROKERAGE(*1234),ADVISORY FEE QUARTERLY,,PROGRAM FEE,Cash,,,,,,-621.53,03/28/2025
04/06/2025,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1338.88,04/06/2025
04/06/2025,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,632.84,04/06/2025
04/12/2025,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-70.38,04/12/2025
04/21/2025,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-125.24,04/21/2025
05/06/2025,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1429.36,05/06/2025
05/06/2025,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,522.96,05/06/2025
05/12/2025,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-81.94,05/12/2025
05/21/2025,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-132.78,05/21/2025
06/06/2025,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1326.94,06/06/2025
06/06/2025,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,612.35,06/06/2025
06/12/2025,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-78.46,06/12/2025
06/21/2025,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-124.37,06/21/2025
06/28/2025,IRA(*1234),DIVIDEND RECEIVED,BND,VANGUARD TOTAL BOND MARKET ETF,Cash,,,,,,634.39,06/28/2025
06/28/2025,BROKERAGE(*1234),ADVISORY FEE QUARTERLY,,PROGRAM FEE,Cash,,,,,,-630.81,06/28/2025
07/06/2025,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1434.66,07/06/2025
07/06/2025,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,501.67,07/06/2025
07/12/2025,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-77.20,07/12/2025
07/21/2025,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-136.64,07/21/2025
08/06/2025,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1482.22,08/06/2025
08/06/2025,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,576.01,08/06/2025
08/12/2025,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-77.35,08/12/2025
08/21/2025,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-130.21,08/21/2025
09/06/2025,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1631.74,09/06/2025
09/06/2025,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,604.81,09/06/2025
09/12/2025,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-84.89,09/12/2025
09/21/2025,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-135.15,09/21/2025
09/28/2025,IRA(*1234),DIVIDEND RECEIVED,BND,VANGUARD TOTAL BOND MARKET ETF,Cash,,,,,,601.89,09/28/2025
09/28/2025,BROKERAGE(*1234),ADVISORY FEE QUARTERLY,,PROGRAM FEE,Cash,,,,,,-601.75,09/28/2025
10/06/2025,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1501.96,10/06/2025
10/06/2025,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,632.86,10/06/2025
10/12/2025,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-80.60,10/12/2025
10/21/2025,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-134.01,10/21/2025
11/06/2025,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1375.17,11/06/2025
11/06/2025,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,520.89,11/06/2025
11/12/2025,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-81.78,11/12/2025
11/21/2025,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-145.51,11/21/2025
12/06/2025,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1355.12,12/06/2025
12/06/2025,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,517.14,12/06/2025
12/12/2025,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-78.48,12/12/2025
12/21/2025,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-142.28,12/21/2025
12/28/2025,IRA(*1234),DIVIDEND RECEIVED,BND,VANGUARD TOTAL BOND MARKET ETF,Cash,,,,,,709.15,12/28/2025
12/28/2025,BROKERAGE(*1234),ADVISORY FEE QUARTERLY,,PROGRAM FEE,Cash,,,,,,-629.24,12/28/2025
01/06/2026,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1394.68,01/06/2026
01/06/2026,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,630.17,01/06/2026
01/12/2026,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-79.57,01/12/2026
01/21/2026,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-135.88,01/21/2026
02/06/2026,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1608.85,02/06/2026
02/06/2026,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,502.33,02/06/2026
02/12/2026,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-71.89,02/12/2026
02/21/2026,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-123.69,02/21/2026
03/06/2026,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1576.84,03/06/2026
03/06/2026,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,522.06,03/06/2026
03/12/2026,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-84.86,03/12/2026
03/21/2026,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-136.04,03/21/2026
03/28/2026,IRA(*1234),DIVIDEND RECEIVED,BND,VANGUARD TOTAL BOND MARKET ETF,Cash,,,,,,626.46,03/28/2026
03/28/2026,BROKERAGE(*1234),ADVISORY FEE QUARTERLY,,PROGRAM FEE,Cash,,,,,,-633.27,03/28/2026
04/06/2026,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1452.25,04/06/2026
04/06/2026,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,553.92,04/06/2026
04/12/2026,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-81.73,04/12/2026
04/21/2026,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-140.46,04/21/2026
05/06/2026,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1360.13,05/06/2026
