DATE,DESCRIPTION,AMOUNT,CHECK #,STATUS
02/05/2025,ACME CORP EDIPAYMENT PAYROLL,4283.57,,posted
02/20/2025,ACME CORP EDIPAYMENT PAYROLL,4020.36,,posted
02/15/2025,NORTHWIND LLC DIRECT DEP,2918.34,,posted
02/01/2025,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
02/06/2025,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
02/06/2025,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
02/08/2025,VERIZON WIRELESS AUTOPAY,-254.01,,posted
02/09/2025,CITY WATER AND SEWER,-86.09,,posted
02/10/2025,REGIONAL ELECTRIC UTILITY,-359.57,,posted
02/12/2025,STATE FARM INSURANCE PREM,-356.72,,posted
02/14/2025,AMERICAN EXPRESS ACH PMT,-994.93,,posted
02/18/2025,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
02/19/2025,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
02/22/2025,LAWN AND LANDSCAPE SERVICE,-230.93,,posted
02/24/2025,ATM WITHDRAWAL MAIN ST,-200.00,,posted
02/26/2025,AUTO LOAN PAYMENT,-540.00,,posted
03/05/2025,ACME CORP EDIPAYMENT PAYROLL,4645.87,,posted
03/20/2025,ACME CORP EDIPAYMENT PAYROLL,4277.66,,posted
03/15/2025,NORTHWIND LLC DIRECT DEP,2426.98,,posted
03/01/2025,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
03/06/2025,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
03/06/2025,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
03/08/2025,VERIZON WIRELESS AUTOPAY,-241.43,,posted
03/09/2025,CITY WATER AND SEWER,-97.29,,posted
03/10/2025,REGIONAL ELECTRIC UTILITY,-362.23,,posted
03/12/2025,STATE FARM INSURANCE PREM,-358.68,,posted
03/14/2025,AMERICAN EXPRESS ACH PMT,-955.06,,posted
03/18/2025,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
03/19/2025,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
03/22/2025,LAWN AND LANDSCAPE SERVICE,-283.44,,posted
03/24/2025,ATM WITHDRAWAL MAIN ST,-200.00,,posted
03/26/2025,AUTO LOAN PAYMENT,-540.00,,posted
04/05/2025,ACME CORP EDIPAYMENT PAYROLL,4595.37,,posted
04/20/2025,ACME CORP EDIPAYMENT PAYROLL,4390.20,,posted
04/15/2025,NORTHWIND LLC DIRECT DEP,2798.07,,posted
04/01/2025,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
04/06/2025,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
04/06/2025,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
04/08/2025,VERIZON WIRELESS AUTOPAY,-216.73,,posted
04/09/2025,CITY WATER AND SEWER,-101.76,,posted
04/10/2025,REGIONAL ELECTRIC UTILITY,-305.71,,posted
04/12/2025,STATE FARM INSURANCE PREM,-373.21,,posted
04/14/2025,AMERICAN EXPRESS ACH PMT,-922.28,,posted
04/18/2025,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
04/19/2025,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
04/22/2025,LAWN AND LANDSCAPE SERVICE,-287.46,,posted
04/24/2025,ATM WITHDRAWAL MAIN ST,-200.00,,posted
04/26/2025,AUTO LOAN PAYMENT,-540.00,,posted
05/05/2025,ACME CORP EDIPAYMENT PAYROLL,4120.31,,posted
05/20/2025,ACME CORP EDIPAYMENT PAYROLL,4551.73,,posted
05/15/2025,NORTHWIND LLC DIRECT DEP,2548.45,,posted
05/01/2025,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
05/06/2025,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
05/06/2025,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
05/08/2025,VERIZON WIRELESS AUTOPAY,-251.16,,posted
05/09/2025,CITY WATER AND SEWER,-96.21,,posted
