Account Number,Account Name,Symbol,Description,Quantity,Last Price,Current Value,Cost Basis Total,Total Gain/Loss Dollar,Type
*7788,401k Plan,FXAIX,FIDELITY 500 INDEX FUND,1902.440,199.72,380000.00,,,Cash
*7788,401k Plan,VUG,VANGUARD GROWTH ETF,316.280,417.34,132000.00,,,Cash
*7788,401k Plan,BND,VANGUARD TOTAL BOND MARKET ETF,1373.630,72.80,100000.00,,,Cash
*5502,Spouse 401k Plan,VTSAX,VANGUARD TOTAL STOCK MKT IDX ADM,2077.510,139.60,290000.00,,,Cash
*1234,401k R/O IRA,BND,VANGUARD TOTAL BOND MARKET ETF,1263.740,72.80,92000.00,,,Margin
*1234,401k R/O IRA,VXUS,VANGUARD TOTAL INTL STOCK ETF,950.360,69.45,66000.00,,,Margin
*4417,Roth IRA,VOO,VANGUARD S&P 500 ETF,106.720,580.95,62000.00,,,Cash
*4417,Roth IRA,SCHD,SCHWAB US DIVIDEND EQUITY ETF,1141.550,28.03,32000.00,,,Cash
*1234,Brokerage,VTI,VANGUARD TOTAL STOCK MARKET ETF,456.190,317.85,145000.00,98000.00,47000.00,Margin
*1234,Brokerage,SPY,SPDR S&P 500 ETF TRUST,86.940,632.62,55000.00,41000.00,14000.00,Margin
*1234,Brokerage,AAPL,APPLE INC,88.710,248.00,22000.00,12000.00,10000.00,Margin
*1234,Brokerage,MSFT,MICROSOFT CORP,34.150,527.09,18000.00,19000.00,-1000.00,Margin
*1234,Brokerage,SPAXX,FIDELITY GOVERNMENT MONEY MARKET,8000.000,1.00,8000.00,8000.00,0.00,Margin
