Award Date,Award ID,Award Type,Vest Date,Vest Shares,Award Price,Is Vested,Tax Withheld Shares,Tax Withheld Value
2022-11-15,RSU-2022-A,RSU,2023-11-15,240,,Yes,74,8214.00
2022-11-15,RSU-2022-A,RSU,2024-11-15,240,,Yes,74,8658.00
2023-11-15,RSU-2023-A,RSU,2025-11-15,210,,Yes,65,7702.50
2023-11-15,RSU-2023-A,RSU,2026-11-15,210,,No,,
2024-02-15,RSU-2024-A,RSU,2027-02-15,185,,No,,
2024-02-15,RSU-2024-A,RSU,2027-05-15,185,,No,,
2024-11-15,RSU-2024-B,RSU,2027-11-15,195,,No,,
2025-02-15,RSU-2025-A,RSU,2028-02-15,160,,No,,
2025-11-15,RSU-2025-B,RSU,2028-11-15,160,,vests only if the performance multiplier is met,,
2026-02-15,RSU-2026-A,RSU,2029-02-15,140,,No,,
